WGS_ID_VCF_ID,RNASeq_VCF_ID,Expression_ID,Hospital_ID,WGS_Orginal
WHB13392,RHL6397,ENABL236,NEMB062,WHB13392
WHB13393,RHL6458,ENABL278,NEMC060,WHB13393
WHB13394,RHL6543,ENABL225,NEMB050,WHB13394
WHB13395,RHL6447,ENABL203,NEMC029,WHB13395
WHB13396,RHL6507,ENABL258,NEMC036,WHB13396
WHB13397,RHL6438,ENABL288,NEMC071,WHB13397
WHB13398,RHL6502,ENABL289,NEMC072,WHB13398
WHB13399,RHL6523,ENABL200,NEMC025,WHB13399
WHB13400,RHL6547,ENABL290,NEMC073,WHB13400
WHB13401,RHL6516,ENABL265,NEMC046,WHB13401
WHB13402,RHL6452,ENABL299,NEMD016,WHB13402
WHB13403,RHL6471,ENABL251,NEMB082,WHB13403
WHB13404,RHL6381,ENABL218,NEMB041,WHB13404
WHB13405,RHL6453,ENABL175,NEMB030,WHB13405
WHB13406,RHL6433,ENABL219,NEMB043,WHB13406
WHB13407,RHL6542,ENABL176,NEMB031,WHB13407
WHB13408,RHL7419,ENABL212,NEMR001,WHB13408
WHB13409,RHL7444,ENABL213,NEMR002,WHB13409
WHB13410,RHL6414,ENABL284,NEMC067,WHB13410
WHB13411,RHL6531,ENABL253,NEMB085,WHB13411
WHB13412,RHL6506,ENABL196,NEMC020,WHB13412
WHB13414,RHL6545,ENABL263,NEMC044,WHB13414
WHB13415,RHL6501,ENABL264,NEMC045,WHB13415
WHB13416,RHL6405,ENABL267,NEMC048,WHB13416
WHB13417,RHL6474,ENABL300,NEMD018,WHB13417
WHB13419,RHL7480,ENABL210,NEMD010,WHB13419
WHB13425,RHL5336,ENABL153,NEMB003,WHB13425
WHB13435,RHL7423,ENABL339,NEMC023,WHB13435
WHB13437,RHL7434,ENABL306,KEMC002,WHB13437
WHB13439,RHL7408,ENABL305,KEMC001,WHB13439
WHB13440,RHL7468,ENABL214,NEMR004,WHB13440
WHB13442,RHL7382,ENABL302,NEMR005,WHB13442
WHB13443,RHL7414,ENABL438,NEMB084,WHB13443
WHB13446,RHL7449,ENABL344,NEMC078,WHB13446
WHB13449,RHL7440,ENABL309,NEMB087,WHB13449
WHB13450,RHL7473,ENABL345,NEMC079,WHB13450
WHB13451,RHL7376,ENABL437,NEMB065,WHB13451
WHB13452,RHL7415,ENABL312,NEMB093,WHB13452
WHB13453,RHL7386,ENABL346,NEMC080,WHB13453
WHB13454,RHL7424,ENABL347,NEMC081,WHB13454
WHB13455,RHL7445,ENABL313,NEMB094,WHB13455
WHB13456,RHL7465,ENABL314,NEMB095,WHB13456
WHB13457,RHL6551,ENABL303,NEMC027,WHB13457
WHB13458,RHL7470,ENABL395,SEMC003,WHB13458
WHB13459,RHL7383,ENABL315,NEMB096,WHB13459
WHB13461,RHL7387,ENABL396,SEMC004,WHB13461
WHB13462,RHL7425,ENABL397,SEMC005,WHB13462
WHB13463,RHL7456,ENABL398,SEMC006,WHB13463
WHB13464,RHL7476,ENABL399,SEMC007,WHB13464
WHB13466,RHL7475,ENABL350,NEMC084,WHB13466
WHB13467,RHL7392,ENABL401,SEMC009,WHB13467
WHB13468,RHL7421,ENABL316,NEMB098,WHB13468
WHB13469,RHL7453,ENABL322,NEMB104,WHB13469
WHB13470,RHL7353,ENABL351,NEMC085,WHB13470
WHB13471,RHL7391,ENABL352,NEMC086,WHB13471
WHB13473,RHL7447,ENABL353,NEMC087,WHB13473
WHB13474,RHL7477,ENABL323,NEMB106,WHB13474
WHB13475,RHL7388,ENABL320,NEMB102,WHB13475
WHB13478,RHL7397,ENABL356,NEMC090,WHB13478
WHB13479,RHL7481,ENABL354,NEMC088,WHB13479
WHB13480,RHL8228,ENABL357,NEMC091,WHB13480
WHB13481,RHL7426,ENABL321,NEMB103,WHB13481
WHB13483,RHL7483,ENABL327,NEMB111,WHB13483
WHB13484,RHL7458,ENABL326,NEMB110,WHB13484
WHB13485,RHL7457,ENABL430,SEMC011,WHB13485
WHB13486,RHL7487,ENABL360,NEMC095,WHB13486
WHB13487,RHL7365,ENABL361,NEMC096,WHB13487
WHB13488,RHL7399,ENABL329,NEMB114,WHB13488
WHB13489,RHL7361,ENABL328,NEMB112,WHB13489
WHB13491,RHL7431,ENABL334,NEMB122,WHB13491
WHB13492_1_WHB13492_1,RHL7493,ENABL365,NEMC100,WHB13492
WHB13494,RHL7371,ENABL366,NEMC101,WHB13494
WHB13496,RHL7471,ENABL319,NEMB101,WHB13496
WHB13497,RHL7409,ENABL367,NEMC102,WHB13497
WHB13500,RHL7490,ENABL335,NEMB124,WHB13500
WHB13501,RHL7406,ENABL337,NEMB127,WHB13501
WHB13502_1_WHB13502_1,RHL7482,ENABL431,SEMC012,WHB13502
WHB13503,RHL7410,ENABL371,NEMC106,WHB13503
WHB13504,RHL7441,ENABL372,NEMC107,WHB13504
WHB13505,RHL7360,ENABL432,SEMC013,WHB13505
WHB13506,RHL7498,ENABL373,NEMC108,WHB13506
WHB13507,RHL7378,ENABL374,NEMC109,WHB13507
WHB13509,RHL7364,ENABL304,CEMC001,WHB13509
WHB13510_1_WHB13510_1,RHL7491,ENABL375,NEMC110,WHB13510
WHB13511,RHL7368,ENABL336,NEMB125,WHB13511
WHB13513,RHL7384,ENABL378,NEMC113,WHB13513
WHB13515,RHL7437,ENABL404,NEMB128,WHB13515
WHB13516,RHL7438,ENABL407,NEMB134,WHB13516
WHB13517,RHL7448,ENABL380,NEMC115,WHB13517
WHB13518,RHL7422,ENABL379,NEMC114,WHB13518
WHB13522,RHL7374,ENABL405,NEMB132,WHB13522
WHB13524,RHL7492,ENABL434,CEMC004,WHB13524
WHB13525,RHL7356,ENABL416,NEMC122,WHB13525
WHB13526,RHL7459,ENABL418,NEMC124,WHB13526
WHB13527,RHL7418,ENABL410,NEMB139,WHB13527
WHB13528,RHL7472,ENABL415,NEMC116,WHB13528
WHB13530,RHL7394,ENABL417,NEMC123,WHB13530
WHB13531,RHL7412,ENABL406,NEMB133,WHB13531
WHB13532,RHL7416,ENABL428,NEMG001,WHB13532
WHB13533,RHL7369,ENABL429,NEMG002,WHB13533
WHB13534,RHL7500,ENABL408,NEMB135,WHB13534
WHB13536,RHL7428,ENABL433,CEMC005,WHB13536
WHB13537,RHL7464,ENABL422,NEMC129,WHB13537
WHB13540,RHL7467,ENABL413,NEMB142,WHB13540
WHB13541,RHL7385,ENABL414,NEMB143,WHB13541
WHB13542,RHL7357,ENABL420,NEMC127,WHB13542
WHB13543,RHL7485,ENABL423,NEMC130,WHB13543
WHB13544,RHL7398,ENABL436,SEMC014,WHB13544
WHB13545,RHL7380,ENABL409,NEMB136,WHB13545
WHB13546,RHL7363,ENABL424,NEMC131,WHB13546
WHB13547,RHL7463,ENABL330,NEMB115,WHB13547
WHB13548,RHL7461,ENABL358,NEMC093,WHB13548
WHB13550,RHL7435,ENABL368,NEMC103,WHB13550
WHB13551,RHL7454,ENABL384,NEMC120,WHB13551
WHB13566,RHL7396,ENABL301,NEMD021,WHB13566
WHB13567,RHL7432,ENABL387,NEMD022,WHB13567
WHB13568,RHL7496,ENABL388,NEMD024,WHB13568
WHB13569,RHL7375,ENABL389,NEMD025,WHB13569
WHB13570,RHL7407,ENABL390,NEMD026,WHB13570
WHB13571,RHL7433,ENABL391,NEMD027,WHB13571
WHB13574,RHL7439,ENABL427,NEMD031,WHB13574
WHB13575,RHL7413,ENABL426,NEMD030,WHB13575
WHB13952,RHL8246,ENABL453,NEMG009,WHB13952
WHB13953,RHL8240,ENABL445,NEMC133,WHB13953
WHB13954,RHL8235,ENABL474,NEMG020,WHB13954
WHB13955,RHL8267,ENABL476,NEMB148,WHB13955
WHB13956,RHL8251,ENABL467,NEMG013,WHB13956
WHB13957,RHL8248,ENABL452,NEMG008,WHB13957
WHB13958,RHL7400,ENABL333,NEMB121,WHB13958
WHB13959,RHL8263,ENABL473,NEMG019,WHB13959
WHB13960,RHL8250,ENABL459,NEMC139,WHB13960
WHB13962,RHL8266,ENABL448,NEMC138,WHB13962
WHB13963,RHL8257,ENABL444,NEMC132,WHB13963
WHB13964,RHL7502,ENABL439,NEMG003,WHB13964
WHB13965,RHL8262,ENABL469,NEMG015,WHB13965
WHB13966,RHL8254,ENABL451,NEMG006,WHB13966
WHB13967,RHL8238,ENABL455,NEMG011,WHB13967
WHB13968,RHL8231,ENABL441,NEMB144,WHB13968
WHB13969,RHL8237,ENABL465,NEMG007,WHB13969
WHB13970,RHL8226,ENABL466,NEMG012,WHB13970
WHB13971,RHL8229,ENABL462,NEMC142,WHB13971
WHB13972,RHL8256,ENABL470,NEMG016,WHB13972
WHB13973,RHL8264,ENABL458,NEMB155,WHB13973
WHB13974,RHL8244,ENABL471,NEMG017,WHB13974
WHB13975,RHL8249,ENABL450,NEMG005,WHB13975
WHB13977,RHL8255,ENABL461,NEMC141,WHB13977
WHB13978,RHL8260,ENABL475,NEMG021,WHB13978
WHB13979,RHL8241,ENABL460,NEMC140,WHB13979
WHB13980,RHL7503,ENABL440,NEMG004,WHB13980
WHB13981,RHL8253,ENABL457,NEMB154,WHB13981
WHB13982_1_WHB13982_1,RHL8232,ENABL472,NEMG018,WHB13982
WHB13984,RHL8259,ENABL447,NEMC137,WHB13984
WHB13985,RHL8243,ENABL442,NEMB146,WHB13985
WHB13986,RHL8261,ENABL463,CEMC006,WHB13986
WHB13987,RHL8245,ENABL449,NEMB138,WHB13987
WHB13989,RHL8223,ENABL468,NEMG014,WHB13989
WHB14584,RHL7377,ENABL311,NEMB092,WHB14584
WHB14586,RHL7393,ENABL325,NEMB109,WHB14586
WHB14587,RHL7429,ENABL363,NEMC098,WHB14587
WHB14588,RHL7395,ENABL421,NEMC128,WHB14588
WHB14589,RHL7450,ENABL394,SEMC002,WHB14589
WHB14590,RHL7354,ENABL400,SEMC008,WHB14590
WHB14591,RHL7495,ENABL338,NEMB131,WHB14591
WHB14592,RHL7362,ENABL332,NEMB119,WHB14592
WHB14593,RHL7478,ENABL385,NEMC121,WHB14593
